Using device: cpu
Starting training...

Episode 114	Average Score (100): -128.07	Epsilon: 0.71
Episode 115	Average Score (100): -127.34	Epsilon: 0.71
Episode 116	Average Score (100): -127.82	Epsilon: 0.71
Episode 117	Average Score (100): -127.59	Epsilon: 0.70
Episode 118	Average Score (100): -125.42	Epsilon: 0.70
Episode 119	Average Score (100): -125.20	Epsilon: 0.70
Episode 120	Average Score (100): -122.88	Epsilon: 0.70
Episode 121	Average Score (100): -120.19	Epsilon: 0.70
Episode 122	Average Score (100): -119.26	Epsilon: 0.69
Episode 123	Average Score (100): -119.01	Epsilon: 0.69
Episode 124	Average Score (100): -117.10	Epsilon: 0.69
Episode 125	Average Score (100): -117.46	Epsilon: 0.69
Episode 126	Average Score (100): -116.42	Epsilon: 0.68
Episode 127	Average Score (100): -115.95	Epsilon: 0.68
Episode 128	Average Score (100): -114.46	Epsilon: 0.68
Episode 129	Average Score (100): -113.83	Epsilon: 0.68
Episode 130	Average Score (100): -114.97	Epsilon: 0.68
Episode 131	Average Score (100): -114.82	Epsilon: 0.67
Episode 132	Average Score (100): -114.30	Epsilon: 0.67
Episode 133	Average Score (100): -113.88	Epsilon: 0.67
Episode 134	Average Score (100): -113.72	Epsilon: 0.67
Episode 135	Average Score (100): -113.25	Epsilon: 0.67
Episode 136	Average Score (100): -113.77	Epsilon: 0.66
Episode 137	Average Score (100): -112.26	Epsilon: 0.66
Episode 138	Average Score (100): -112.18	Epsilon: 0.66
Episode 139	Average Score (100): -110.79	Epsilon: 0.66
Episode 140	Average Score (100): -109.88	Epsilon: 0.66
Episode 141	Average Score (100): -109.50	Epsilon: 0.65
Episode 142	Average Score (100): -109.62	Epsilon: 0.65
Episode 143	Average Score (100): -107.10	Epsilon: 0.65
Episode 144	Average Score (100): -106.70	Epsilon: 0.65
Episode 145	Average Score (100): -106.35	Epsilon: 0.65
Episode 146	Average Score (100): -105.51	Epsilon: 0.64
Episode 147	Average Score (100): -105.09	Epsilon: 0.64
Episode 148	Average Score (100): -106.15	Epsilon: 0.64
Episode 149	Average Score (100): -105.61	Epsilon: 0.64
Episode 150	Average Score (100): -105.41	Epsilon: 0.64
Episode 151	Average Score (100): -105.30	Epsilon: 0.64
Episode 152	Average Score (100): -103.10	Epsilon: 0.63
Episode 153	Average Score (100): -104.83	Epsilon: 0.63
Episode 154	Average Score (100): -103.70	Epsilon: 0.63
Episode 155	Average Score (100): -101.35	Epsilon: 0.63
Episode 156	Average Score (100): -100.69	Epsilon: 0.63
Episode 157	Average Score (100): -101.62	Epsilon: 0.62
Episode 158	Average Score (100): -101.05	Epsilon: 0.62
Episode 159	Average Score (100): -100.54	Epsilon: 0.62
Episode 160	Average Score (100): -99.47	Epsilon: 0.62
Episode 161	Average Score (100): -98.97	Epsilon: 0.62
Episode 162	Average Score (100): -97.47	Epsilon: 0.61
Episode 163	Average Score (100): -96.26	Epsilon: 0.61
Episode 164	Average Score (100): -96.04	Epsilon: 0.61
Episode 165	Average Score (100): -94.91	Epsilon: 0.61
Episode 166	Average Score (100): -95.15	Epsilon: 0.61
Episode 167	Average Score (100): -96.18	Epsilon: 0.61
Episode 168	Average Score (100): -96.88	Epsilon: 0.60
Episode 169	Average Score (100): -96.53	Epsilon: 0.60
Episode 170	Average Score (100): -95.38	Epsilon: 0.60
Episode 171	Average Score (100): -96.21	Epsilon: 0.60
Episode 172	Average Score (100): -95.47	Epsilon: 0.60
Episode 173	Average Score (100): -95.47	Epsilon: 0.59
Episode 174	Average Score (100): -93.94	Epsilon: 0.59
Episode 175	Average Score (100): -93.55	Epsilon: 0.59
Episode 176	Average Score (100): -92.31	Epsilon: 0.59
Episode 177	Average Score (100): -90.93	Epsilon: 0.59
Episode 178	Average Score (100): -91.05	Epsilon: 0.59
Episode 179	Average Score (100): -89.79	Epsilon: 0.58
Episode 180	Average Score (100): -89.69	Epsilon: 0.58
Episode 181	Average Score (100): -88.45	Epsilon: 0.58
Episode 182	Average Score (100): -87.14	Epsilon: 0.58
Episode 183	Average Score (100): -86.74	Epsilon: 0.58
Episode 184	Average Score (100): -86.57	Epsilon: 0.58
Episode 185	Average Score (100): -83.77	Epsilon: 0.57
Episode 186	Average Score (100): -83.73	Epsilon: 0.57
Episode 187	Average Score (100): -83.97	Epsilon: 0.57
Episode 188	Average Score (100): -84.29	Epsilon: 0.57
Episode 189	Average Score (100): -83.27	Epsilon: 0.57
Episode 190	Average Score (100): -83.15	Epsilon: 0.57
Episode 191	Average Score (100): -82.79	Epsilon: 0.56
Episode 192	Average Score (100): -82.06	Epsilon: 0.56
Episode 193	Average Score (100): -81.76	Epsilon: 0.56
Episode 194	Average Score (100): -81.58	Epsilon: 0.56
Episode 195	Average Score (100): -81.56	Epsilon: 0.56
Episode 196	Average Score (100): -81.26	Epsilon: 0.55
Episode 197	Average Score (100): -78.15	Epsilon: 0.55
Episode 198	Average Score (100): -77.66	Epsilon: 0.55
Episode 199	Average Score (100): -78.05	Epsilon: 0.55
Episode 200	Average Score (100): -77.75	Epsilon: 0.55
Episode 200	Average Score (100): -77.75

Episode 201	Average Score (100): -78.20	Epsilon: 0.55
Episode 202	Average Score (100): -78.94	Epsilon: 0.55
Episode 203	Average Score (100): -79.15	Epsilon: 0.54
Episode 204	Average Score (100): -78.83	Epsilon: 0.54
Episode 205	Average Score (100): -78.02	Epsilon: 0.54
Episode 206	Average Score (100): -78.03	Epsilon: 0.54
Episode 207	Average Score (100): -77.64	Epsilon: 0.54
Episode 208	Average Score (100): -76.89	Epsilon: 0.54
