Используем устройство: cpu
Начинаем обучение... (Это может занять 10-20 минут)

Эпизод 102	Средний счет (100): -156.72	Epsilon: 0.74
Эпизод 103	Средний счет (100): -155.17	Epsilon: 0.73
Эпизод 104	Средний счет (100): -154.96	Epsilon: 0.73
Эпизод 105	Средний счет (100): -155.33	Epsilon: 0.73
Эпизод 106	Средний счет (100): -155.09	Epsilon: 0.73
Эпизод 107	Средний счет (100): -155.71	Epsilon: 0.73
Эпизод 108	Средний счет (100): -155.42	Epsilon: 0.72
Эпизод 109	Средний счет (100): -153.62	Epsilon: 0.72
Эпизод 110	Средний счет (100): -153.23	Epsilon: 0.72
Эпизод 111	Средний счет (100): -150.54	Epsilon: 0.72
Эпизод 112	Средний счет (100): -149.78	Epsilon: 0.71
Эпизод 113	Средний счет (100): -149.69	Epsilon: 0.71
Эпизод 114	Средний счет (100): -148.28	Epsilon: 0.71
Эпизод 115	Средний счет (100): -148.32	Epsilon: 0.71
Эпизод 116	Средний счет (100): -149.07	Epsilon: 0.71
Эпизод 117	Средний счет (100): -146.07	Epsilon: 0.70
Эпизод 118	Средний счет (100): -144.58	Epsilon: 0.70
Эпизод 119	Средний счет (100): -144.67	Epsilon: 0.70
Эпизод 120	Средний счет (100): -143.67	Epsilon: 0.70
Эпизод 121	Средний счет (100): -143.15	Epsilon: 0.70
Эпизод 122	Средний счет (100): -141.79	Epsilon: 0.69
Эпизод 123	Средний счет (100): -141.91	Epsilon: 0.69
Эпизод 124	Средний счет (100): -140.70	Epsilon: 0.69
Эпизод 125	Средний счет (100): -138.48	Epsilon: 0.69
Эпизод 126	Средний счет (100): -138.44	Epsilon: 0.68
Эпизод 127	Средний счет (100): -135.96	Epsilon: 0.68
Эпизод 128	Средний счет (100): -136.05	Epsilon: 0.68
Эпизод 129	Средний счет (100): -135.97	Epsilon: 0.68
Эпизод 130	Средний счет (100): -135.57	Epsilon: 0.68
Эпизод 131	Средний счет (100): -138.06	Epsilon: 0.67
Эпизод 132	Средний счет (100): -136.24	Epsilon: 0.67
Эпизод 133	Средний счет (100): -136.08	Epsilon: 0.67
Эпизод 134	Средний счет (100): -137.12	Epsilon: 0.67
Эпизод 135	Средний счет (100): -136.32	Epsilon: 0.67
Эпизод 136	Средний счет (100): -133.94	Epsilon: 0.66
Эпизод 137	Средний счет (100): -134.11	Epsilon: 0.66
Эпизод 138	Средний счет (100): -133.34	Epsilon: 0.66
Эпизод 139	Средний счет (100): -132.43	Epsilon: 0.66
Эпизод 140	Средний счет (100): -128.34	Epsilon: 0.66
Эпизод 141	Средний счет (100): -127.73	Epsilon: 0.65
Эпизод 142	Средний счет (100): -126.48	Epsilon: 0.65
Эпизод 143	Средний счет (100): -125.74	Epsilon: 0.65
Эпизод 144	Средний счет (100): -122.93	Epsilon: 0.65
Эпизод 145	Средний счет (100): -121.45	Epsilon: 0.65
Эпизод 146	Средний счет (100): -118.85	Epsilon: 0.64
Эпизод 147	Средний счет (100): -118.48	Epsilon: 0.64
Эпизод 148	Средний счет (100): -118.75	Epsilon: 0.64
Эпизод 149	Средний счет (100): -116.23	Epsilon: 0.64
Эпизод 150	Средний счет (100): -113.09	Epsilon: 0.64
Эпизод 151	Средний счет (100): -111.21	Epsilon: 0.64
Эпизод 152	Средний счет (100): -110.09	Epsilon: 0.63
Эпизод 153	Средний счет (100): -109.37	Epsilon: 0.63
Эпизод 154	Средний счет (100): -108.69	Epsilon: 0.63
Эпизод 155	Средний счет (100): -107.40	Epsilon: 0.63
Эпизод 156	Средний счет (100): -108.55	Epsilon: 0.63
Эпизод 157	Средний счет (100): -108.25	Epsilon: 0.62
Эпизод 158	Средний счет (100): -107.74	Epsilon: 0.62
Эпизод 159	Средний счет (100): -109.38	Epsilon: 0.62
Эпизод 160	Средний счет (100): -107.22	Epsilon: 0.62
Эпизод 161	Средний счет (100): -107.45	Epsilon: 0.62
Эпизод 162	Средний счет (100): -106.00	Epsilon: 0.61
Эпизод 163	Средний счет (100): -106.18	Epsilon: 0.61
Эпизод 164	Средний счет (100): -105.17	Epsilon: 0.61
Эпизод 165	Средний счет (100): -104.79	Epsilon: 0.61
Эпизод 166	Средний счет (100): -105.79	Epsilon: 0.61
Эпизод 167	Средний счет (100): -103.69	Epsilon: 0.61
Эпизод 168	Средний счет (100): -104.07	Epsilon: 0.60
Эпизод 169	Средний счет (100): -104.81	Epsilon: 0.60
Эпизод 170	Средний счет (100): -105.83	Epsilon: 0.60
Эпизод 171	Средний счет (100): -104.97	Epsilon: 0.60
Эпизод 172	Средний счет (100): -103.78	Epsilon: 0.60
Эпизод 173	Средний счет (100): -101.26	Epsilon: 0.59
Эпизод 174	Средний счет (100): -101.49	Epsilon: 0.59
Эпизод 175	Средний счет (100): -101.83	Epsilon: 0.59
Эпизод 176	Средний счет (100): -101.22	Epsilon: 0.59
Эпизод 177	Средний счет (100): -100.98	Epsilon: 0.59
Эпизод 178	Средний счет (100): -99.87	Epsilon: 0.59
Эпизод 179	Средний счет (100): -101.43	Epsilon: 0.58
Эпизод 180	Средний счет (100): -100.82	Epsilon: 0.58
Эпизод 181	Средний счет (100): -96.96	Epsilon: 0.58
Эпизод 182	Средний счет (100): -96.21	Epsilon: 0.58
Эпизод 183	Средний счет (100): -95.06	Epsilon: 0.58
Эпизод 184	Средний счет (100): -93.99	Epsilon: 0.58
Эпизод 185	Средний счет (100): -93.87	Epsilon: 0.57
Эпизод 186	Средний счет (100): -94.03	Epsilon: 0.57
Эпизод 187	Средний счет (100): -94.10	Epsilon: 0.57
Эпизод 188	Средний счет (100): -93.60	Epsilon: 0.57
Эпизод 189	Средний счет (100): -92.87	Epsilon: 0.57
Эпизод 190	Средний счет (100): -92.13	Epsilon: 0.57
Эпизод 191	Средний счет (100): -91.02	Epsilon: 0.56
Эпизод 192	Средний счет (100): -91.00	Epsilon: 0.56
Эпизод 193	Средний счет (100): -90.04	Epsilon: 0.56
Эпизод 194	Средний счет (100): -90.96	Epsilon: 0.56
Эпизод 195	Средний счет (100): -92.16	Epsilon: 0.56
Эпизод 196	Средний счет (100): -89.51	Epsilon: 0.55
Эпизод 197	Средний счет (100): -88.23	Epsilon: 0.55
Эпизод 198	Средний счет (100): -87.60	Epsilon: 0.55
Эпизод 199	Средний счет (100): -87.26	Epsilon: 0.55
Эпизод 200	Средний счет (100): -86.92	Epsilon: 0.55
Эпизод 200	Средний счет (100): -86.92

Эпизод 201	Средний счет (100): -86.99	Epsilon: 0.55
Эпизод 202	Средний счет (100): -85.33	Epsilon: 0.55
Эпизод 203	Средний счет (100): -83.69	Epsilon: 0.54
Эпизод 204	Средний счет (100): -82.45	Epsilon: 0.54
Эпизод 205	Средний счет (100): -81.85	Epsilon: 0.54
Эпизод 206	Средний счет (100): -81.28	Epsilon: 0.54
Эпизод 207	Средний счет (100): -79.30	Epsilon: 0.54
Эпизод 208	Средний счет (100): -78.28	Epsilon: 0.54
Эпизод 209	Средний счет (100): -77.04	Epsilon: 0.53
Эпизод 210	Средний счет (100): -75.70	Epsilon: 0.53
Эпизод 211	Средний счет (100): -75.97	Epsilon: 0.53
Эпизод 212	Средний счет (100): -75.70	Epsilon: 0.53
Эпизод 213	Средний счет (100): -75.51	Epsilon: 0.53
Эпизод 214	Средний счет (100): -74.05	Epsilon: 0.53
Эпизод 215	Средний счет (100): -73.62	Epsilon: 0.52
Эпизод 216	Средний счет (100): -72.98	Epsilon: 0.52
Эпизод 217	Средний счет (100): -71.41	Epsilon: 0.52
Эпизод 218	Средний счет (100): -70.56	Epsilon: 0.52
Эпизод 219	Средний счет (100): -68.34	Epsilon: 0.52
Эпизод 220	Средний счет (100): -67.70	Epsilon: 0.52
Эпизод 221	Средний счет (100): -66.49	Epsilon: 0.51
Эпизод 222	Средний счет (100): -68.10	Epsilon: 0.51
Эпизод 223	Средний счет (100): -67.88	Epsilon: 0.51
Эпизод 224	Средний счет (100): -67.64	Epsilon: 0.51
Эпизод 225	Средний счет (100): -67.43	Epsilon: 0.51
Эпизод 226	Средний счет (100): -68.14	Epsilon: 0.51
Эпизод 227	Средний счет (100): -67.35	Epsilon: 0.51
Эпизод 228	Средний счет (100): -68.84	Epsilon: 0.50
Эпизод 229	Средний счет (100): -68.11	Epsilon: 0.50
Эпизод 230	Средний счет (100): -68.49	Epsilon: 0.50
Эпизод 231	Средний счет (100): -65.89	Epsilon: 0.50
Эпизод 232	Средний счет (100): -66.73	Epsilon: 0.50
Эпизод 233	Средний счет (100): -66.41	Epsilon: 0.50
Эпизод 234	Средний счет (100): -64.59	Epsilon: 0.50
Эпизод 235	Средний счет (100): -63.93	Epsilon: 0.49
Эпизод 236	Средний счет (100): -64.06	Epsilon: 0.49
Эпизод 237	Средний счет (100): -62.87	Epsilon: 0.49
Эпизод 238	Средний счет (100): -62.78	Epsilon: 0.49
Эпизод 239	Средний счет (100): -62.55	Epsilon: 0.49
Эпизод 240	Средний счет (100): -61.87	Epsilon: 0.49
Эпизод 241	Средний счет (100): -60.89	Epsilon: 0.48
Эпизод 242	Средний счет (100): -60.58	Epsilon: 0.48
Эпизод 243	Средний счет (100): -59.90	Epsilon: 0.48
Эпизод 244	Средний счет (100): -58.73	Epsilon: 0.48
Эпизод 245	Средний счет (100): -60.62	Epsilon: 0.48
Эпизод 246	Средний счет (100): -60.45	Epsilon: 0.48
Эпизод 247	Средний счет (100): -60.26	Epsilon: 0.48
Эпизод 248	Средний счет (100): -60.77	Epsilon: 0.47
Эпизод 249	Средний счет (100): -60.77	Epsilon: 0.47
Эпизод 250	Средний счет (100): -61.28	Epsilon: 0.47
Эпизод 251	Средний счет (100): -61.14	Epsilon: 0.47
Эпизод 252	Средний счет (100): -60.86	Epsilon: 0.47
Эпизод 253	Средний счет (100): -60.33	Epsilon: 0.47
Эпизод 254	Средний счет (100): -60.16	Epsilon: 0.47
Эпизод 255	Средний счет (100): -59.32	Epsilon: 0.46
Эпизод 256	Средний счет (100): -57.50	Epsilon: 0.46
Эпизод 257	Средний счет (100): -56.89	Epsilon: 0.46
Эпизод 258	Средний счет (100): -57.76	Epsilon: 0.46
Эпизод 259	Средний счет (100): -55.97	Epsilon: 0.46
Эпизод 260	Средний счет (100): -56.34	Epsilon: 0.46
Эпизод 261	Средний счет (100): -56.52	Epsilon: 0.46
Эпизод 262	Средний счет (100): -56.21	Epsilon: 0.46
Эпизод 263	Средний счет (100): -55.12	Epsilon: 0.45
Эпизод 264	Средний счет (100): -54.49	Epsilon: 0.45
Эпизод 265	Средний счет (100): -54.07	Epsilon: 0.45
Эпизод 266	Средний счет (100): -52.32	Epsilon: 0.45
Эпизод 267	Средний счет (100): -53.64	Epsilon: 0.45
Эпизод 268	Средний счет (100): -51.60	Epsilon: 0.45
Эпизод 269	Средний счет (100): -50.55	Epsilon: 0.45
Эпизод 270	Средний счет (100): -48.23	Epsilon: 0.44
Эпизод 271	Средний счет (100): -47.34	Epsilon: 0.44
Эпизод 272	Средний счет (100): -47.99	Epsilon: 0.44
Эпизод 273	Средний счет (100): -46.88	Epsilon: 0.44
Эпизод 274	Средний счет (100): -48.08	Epsilon: 0.44
Эпизод 275	Средний счет (100): -48.22	Epsilon: 0.44
Эпизод 276	Средний счет (100): -46.38	Epsilon: 0.44
Эпизод 277	Средний счет (100): -45.72	Epsilon: 0.44
Эпизод 278	Средний счет (100): -45.85	Epsilon: 0.43
Эпизод 279	Средний счет (100): -44.37	Epsilon: 0.43
Эпизод 280	Средний счет (100): -44.25	Epsilon: 0.43
Эпизод 281	Средний счет (100): -45.05	Epsilon: 0.43
Эпизод 282	Средний счет (100): -43.93	Epsilon: 0.43
Эпизод 283	Средний счет (100): -42.79	Epsilon: 0.43
Эпизод 284	Средний счет (100): -42.45	Epsilon: 0.43
Эпизод 285	Средний счет (100): -41.81	Epsilon: 0.42
Эпизод 286	Средний счет (100): -41.03	Epsilon: 0.42
Эпизод 287	Средний счет (100): -40.07	Epsilon: 0.42
Эпизод 288	Средний счет (100): -39.26	Epsilon: 0.42
Эпизод 289	Средний счет (100): -39.22	Epsilon: 0.42
Эпизод 290	Средний счет (100): -39.11	Epsilon: 0.42
Эпизод 291	Средний счет (100): -39.85	Epsilon: 0.42
Эпизод 292	Средний счет (100): -39.33	Epsilon: 0.42
Эпизод 293	Средний счет (100): -37.77	Epsilon: 0.41
Эпизод 294	Средний счет (100): -37.85	Epsilon: 0.41
Эпизод 295	Средний счет (100): -36.33	Epsilon: 0.41
Эпизод 296	Средний счет (100): -36.17	Epsilon: 0.41
Эпизод 297	Средний счет (100): -35.57	Epsilon: 0.41
Эпизод 298	Средний счет (100): -35.43	Epsilon: 0.41
Эпизод 299	Средний счет (100): -35.27	Epsilon: 0.41
Эпизод 300	Средний счет (100): -34.40	Epsilon: 0.41
Эпизод 300	Средний счет (100): -34.40

Эпизод 301	Средний счет (100): -32.59	Epsilon: 0.40
Эпизод 302	Средний счет (100): -32.70	Epsilon: 0.40
Эпизод 303	Средний счет (100): -32.35	Epsilon: 0.40
Эпизод 304	Средний счет (100): -32.21	Epsilon: 0.40
Эпизод 305	Средний счет (100): -31.89	Epsilon: 0.40
Эпизод 306	Средний счет (100): -30.82	Epsilon: 0.40
Эпизод 307	Средний счет (100): -30.16	Epsilon: 0.40
Эпизод 308	Средний счет (100): -29.58	Epsilon: 0.40
Эпизод 309	Средний счет (100): -28.27	Epsilon: 0.40
Эпизод 310	Средний счет (100): -28.53	Epsilon: 0.39
Эпизод 311	Средний счет (100): -26.66	Epsilon: 0.39
Эпизод 312	Средний счет (100): -26.16	Epsilon: 0.39
